title,company,location,status,applied_at,link,posted,posted_days_ago
Full Stack Engineer,1pharmacy Network,Hyderabad,skipped,N/A,https://www.naukri.com/job-listings-full-stack-engineer-1pharmacy-network-hyderabad-3-to-8-years-120826501130?src=drecomm_dashboard_apply,1h ago,
E Learning Developer || Storyline,Niit Learning Systems,Remote,failed,N/A,https://www.naukri.com/job-listings-e-learning-developer-storyline-niit-learning-systems-gurugram-2-to-7-years-210526018983?src=drecomm_dashboard_apply,12d ago,
Back End Developer,Nxtwave Disruptive Technologies(Hiring for a client),Bengaluru,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-nxtwave-disruptive-technologies-hiring-for-a-client-bengaluru-2-to-4-years-110826039852?src=drecomm_dashboard_apply,1d ago,
Gis Developer,Nexa Core HR Pvt. Ltd.,Kolkata(EP Block Sector 5 Salt Lake),failed,N/A,https://www.naukri.com/job-listings-gis-developer-nexa-core-hr-kolkata-2-to-5-years-300726033408?src=drecomm_dashboard_apply,13d ago,
Back End Developer,Innovatione India,Gurugram,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-innovatione-india-gurugram-0-to-3-years-120826025751?src=drecomm_dashboard_apply,1d ago,
Associate Software Engineer - .Net with React,Coupa,Hybrid - Bengaluru,failed,N/A,https://www.naukri.com/job-listings-associate-software-engineer-net-with-react-coupa-bengaluru-1-to-3-years-120826017020?src=drecomm_dashboard_apply,1d ago,
"Backend Developer - Node JS, PostgreSQL",rigbot.com,Hybrid - Bengaluru,failed,N/A,https://www.naukri.com/job-listings-backend-developer-node-js-postgresql-rigbot-solutions-private-limited-bengaluru-3-to-6-years-110826008662?src=drecomm_dashboard_apply,2d ago,
Java Developer,Agiliad,Pune,failed,N/A,https://www.naukri.com/job-listings-java-developer-agiliad-pune-3-to-5-years-120826022081?src=drecomm_dashboard_apply,1d ago,
STG Infotech invites Java Full Stack Developer,Systems Technology (STI),Chennai,failed,N/A,https://www.naukri.com/job-listings-stg-infotech-invites-java-full-stack-developer-systems-technology-sti-chennai-2-to-4-years-110826033100?src=drecomm_dashboard_apply,1d ago,
Front End Developer,Odex India Solutions,Mumbai,failed,N/A,https://www.naukri.com/job-listings-front-end-developer-odex-global-mumbai-2-to-5-years-120826920749?src=drecomm_dashboard_apply,1d ago,
