title,company,location,status,applied_at,link,posted,posted_days_ago
Full Stack Engineer,1pharmacy Network,Hyderabad,skipped,N/A,https://www.naukri.com/job-listings-full-stack-engineer-1pharmacy-network-hyderabad-3-to-8-years-120826501130?src=drecomm_dashboard_apply,2h ago,
Sr . Next . js / Node . js Developer,Akra Tech,Chennai,skipped,N/A,https://www.naukri.com/job-listings-sr-next-js-node-js-developer-akra-tech-chennai-2-to-5-years-120826503640?src=drecomm_dashboard_apply,23h ago,
E Learning Developer || Storyline,Niit Learning Systems,Remote,failed,N/A,https://www.naukri.com/job-listings-e-learning-developer-storyline-niit-learning-systems-gurugram-2-to-7-years-210526018983?src=drecomm_dashboard_apply,12d ago,
Back End Developer,Nxtwave Disruptive Technologies(Hiring for a client),Bengaluru,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-nxtwave-disruptive-technologies-hiring-for-a-client-bengaluru-2-to-4-years-110826039852?src=drecomm_dashboard_apply,1d ago,
Back End Developer,Innovatione India,Gurugram,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-innovatione-india-gurugram-0-to-3-years-120826025751?src=drecomm_dashboard_apply,1d ago,
"Backend Developer - Node JS, PostgreSQL",rigbot.com,Hybrid - Bengaluru,failed,N/A,https://www.naukri.com/job-listings-backend-developer-node-js-postgresql-rigbot-solutions-private-limited-bengaluru-3-to-6-years-110826008662?src=drecomm_dashboard_apply,2d ago,
Front End Developer,Odex India Solutions,Mumbai,failed,N/A,https://www.naukri.com/job-listings-front-end-developer-odex-global-mumbai-2-to-5-years-120826920749?src=drecomm_dashboard_apply,1d ago,
Software Engineer - Ui Path Developer,Ecolab Global Services,Bengaluru,failed,N/A,https://www.naukri.com/job-listings-software-engineer-ui-path-developer-ecolab-global-services-private-limited-bengaluru-1-to-5-years-120826935821?src=drecomm_dashboard_apply,23h ago,
Mern Stack Developer,Unify Technologies,Hyderabad,failed,N/A,https://www.naukri.com/job-listings-mern-stack-developer-unify-technologies-hyderabad-0-to-2-years-110826009128?src=drecomm_dashboard_apply,2d ago,
Fullstack Developer,Rudrabhishek Enterprises,"New Delhi, Noida, Delhi / NCR",failed,N/A,https://www.naukri.com/job-listings-fullstack-developer-rudrabhishek-enterprises-noida-new-delhi-delhi-ncr-2-to-3-years-100226035069?src=drecomm_dashboard_apply,1d ago,
